"review_no","star","review","customerId","reviewDate","pd_no","librarycate_no","category_no"
"35","5","조립하는 게 엄청 쉬웠어요 
쿠션도 푹신하고
각도도 딱 허리 잡아주는 각도에요
하나 더 주문하고 싶네요","jins****","21.03.26.","0","의자","서재/사무용가구"
"36","5","거실에 게임과 공부를 같이 할수있도록 준비하면서 폭풍검색해서 가성비 좋은 의자 구매했네요. 그레이가 책상과도 잘 어울리고 프레임이 화이트라 거실도 환해진거 같네요!","jong****","21.03.13.","0","의자","서재/사무용가구"
"37","5","큰아이 먼저 사주고 괜찮은 제품이라 둘째아이꺼도 샀어요~~조립도 쉽고 무엇보다 가격이 참 착하네요","ktt4****","21.03.25.","0","의자","서재/사무용가구"
"38","5","편안하게 잘 사용하고있어요","94_y****","21.03.30.","0","의자","서재/사무용가구"
"39","5","좋은의자는 아이들이 먼저 알아보나요 ?
막둥이가 형아의자 조립하자마자 턱하니 올라가버리네요ㅎㅎㅎ 조립이 어렵지도않고 여자혼자하기도 괜찮았어요 ~ 의자가 들어있던 택배박스 위에 올리고 조립하니 한결 편했어요 ~ 나사돌리는것도 동봉되어있어서 따로 찾아서 조립할필요없이 간편하게했구요~ 조립후 앉아보니 의자도 편해요 
잘산거같아요 폭신폭신해서 좋네요","noon****","21.03.04.","0","의자","서재/사무용가구"
"40","5","맘에들어요
아이가쓸만해요","rlad****","21.04.08.","0","의자","서재/사무용가구"
"41","5","정말 집에서 쓰기에 딱 알맞은 것같아요 가격도 나름 합리적이구요~","char****","21.03.29.","0","의자","서재/사무용가구"
"42","5","딸아이가  매우 만족하네요  의자에 앉아있는시간이 길어도 허리가 불편한것도 전혀 없다고 하네요 감사합니다^^","kkkb****","21.03.24.","0","의자","서재/사무용가구"
"43","5","조립이 굉장히 간단하네여 작은 십자 드라이버 동봉돼있었음 더 좋았을듯... 쿠션 부분이 탄탄하면서도 폭신해서 오래 앉아있어도 엉덩이가 덜 아픈 것 같아요 ㅋㅋ","mika****","21.03.19.","0","의자","서재/사무용가구"
"44","4","예뻐요 회색이 아니라 카키인데 제가 카키색도 좋아해서 상관 없어요. 혼자서도 약간 엉성하지만 조립했어요. ㅎㅎ. 다만 ㅠ 배송과정인지 제조과정인지 프레임 손잡이 부분에 뭐가 묻어와서 지워지지도 않네요. 흰색이라 더 눈에 띄어 속상해요 ㅠ.. 첫번째 사진 등받이 부분이 그나마 비슷한 색이에요. 왜 사진으로는 회색으로 보이는지 ㅋㅋ","jaew****","21.03.03.","0","의자","서재/사무용가구"
