review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
51,5,냄새가 좀 많이 나긴 하지만 디자인 예쁘고 만족해요,juan****,21.02.14.,1,서랍장,침실가구
,,,,,,,
52,3,깨끗하니 이쁘긴한데   찍히고 벌어지고  짜증남,huib****,21.02.03.,1,서랍장,침실가구
,,,,,,,
53,5,맘에들어용 수납넉넉,gnin****,21.03.13.,1,서랍장,침실가구
,,,,,,,
54,5,무게감 있구 되게 고급져요. 수납력 좋아서 진짜 이거저거 다 넣었어요. 집 정리하는 데에 큰 역할을 해줬어요!,neli****,21.01.28.,1,서랍장,침실가구
,,,,,,,
55,3,"처음 인터넷에 개시된 날짜에 못받고
따로 전화와서 한달가까이 기다려 해넘겨 받았네요.
그냥 딱 가격만큼인 제품이에요
가구 좋아하시는받으면 아실꺼에요.

서랍도 하나는 틈이벌어져있어서 신랑이 다시 나사풀고 박고해서 맞췄어요.
저흰 기존에 티비장식장이 아가 다칠까봐 요걸로 한거라 그냥 싼맛에 씁니다.
사진처럼 페인트가 덕지덕지ㅠ
그냥 씁니다.",dia0****,21.01.06.,1,서랍장,침실가구
,,,,,,,
56,5,배송제날짜에왔습니다,9418****,21.02.17.,1,서랍장,침실가구
,,,,,,,
57,4,"이뻐요
화이트톤이라 방안이 화사하고 예쁩니다~^^",muhi****,21.03.03.,1,서랍장,침실가구
,,,,,,,
58,5,저렴한 가격 좋은 품질 만족합니다.,wool****,21.02.09.,1,서랍장,침실가구
,,,,,,,
59,5,"크기도 크고  깔끔하고 좋아요. 
배송기사님도 늦은 시간까지 배송하시느라 힘드실 듯해요.",ky30****,21.01.28.,1,서랍장,침실가구
,,,,,,,
60,5,배송이 오래걸리긴 했지만 너무 너무 만족스럽고 분위기 살아요,sodo****,21.02.03.,1,서랍장,침실가구
,,,,,,,
61,5,부모님 사드렸어요 만족해하십니다,thez****,21.02.25.,1,서랍장,침실가구
,,,,,,,
62,3,디자인은 너무 맘에 드는데 가구 마감처리와 배송이 아쉬워요...,clla****,21.01.29.,1,서랍장,침실가구
,,,,,,,
63,5,이 가격에 이 정도면 매우 만족스러운 가구라 생각해요. 페인트 칠이 완벽하진 않고(정면에서 보이지 않는 부분) 약간의 에러가 보이긴 하지만 이 정도는 준수하다고 생각해요.,mars****,21.01.17.,1,서랍장,침실가구
,,,,,,,
64,4,"겉은 이쁜데 
속은  쫌  실망
근데  AS도 오셔서 바로해주고   가성비 괜춘
손잡이 골드로 바꿨더니 더 예뻐요",rksk****,21.01.20.,1,서랍장,침실가구
,,,,,,,
65,5,마음에들어요 넘 이쁩니다,pian****,21.02.17.,1,서랍장,침실가구
,,,,,,,
66,4,"스크래치나 파손무분 있으나 폭이 좁고 쓰긴 좋아요.
구분해서 정리하기 참 좋으네요 
가격정도이고 깔끔해요. 하나 살걸 실수로 두개 샀어요.
다행히 안방에 딱 맞아요.  사은품은 어떻게 되나요?",ety6****,21.01.03.,1,서랍장,침실가구
,,,,,,,
67,5,진짜 너무만족스러워요 너무잘샀어요 하나 더사고 싶은맘입니다,ysto****,21.01.22.,1,서랍장,침실가구
,,,,,,,
68,5,가격대비 넘 조아요,pian****,21.02.17.,1,서랍장,침실가구
,,,,,,,
69,5,놀러오는 사람마다 고급지다고 칭찬해주세요 서랍부드럽게 열리고 견고하게 잘 만든 가구 같아요,rani****,21.02.04.,1,서랍장,침실가구
,,,,,,,
70,5,"와우.. 너무 예쁘네요
같이 주문한 스탠드와 찰떡입니다
너무 맘에 들어서 한개더주문했어요!!",barb****,21.01.17.,1,서랍장,침실가구
,,,,,,,
71,4,깔끔하고좋아요 잘쓰고있어요,nang****,21.02.07.,1,서랍장,침실가구
,,,,,,,
72,5,고민많이하고 구매했는데 진작 구매할걸 그랬어요,adzc****,21.02.10.,1,서랍장,침실가구
,,,,,,,
73,5,엄청 마음에 듭니다~ 튼튼하고 분위기가 확 틀리네요.  게다가 저렴하게 구매하게되서 좋아요~,seoh****,21.01.08.,1,서랍장,침실가구
,,,,,,,
74,5,"이사전에 주문 해야 했는데 좀 늦게 주문해서 이사후 많이 기달렸어요~ 사이즈와 높이 너무 딱 맘에 들고 고급스러워요~ 전 3칸보다는 제일 밑에 2칸이 맘에 드네요 
배송해 주시는 분들도 미리 연락 주시고 딱 맞춰 오셔서 참 좋았습니다",kkom****,20.12.25.,1,서랍장,침실가구
,,,,,,,
75,5,"기대만큼 이쁩니다 
너무 맘에 들어요
감사합니다",jane****,21.01.29.,1,서랍장,침실가구
,,,,,,,
76,4,브라운색 키큰버젼이랑 키낮은거 두개구매했어여 키큰서랍장 서랍하나가 불량이와서 교환해주신다했고 이거땜에 별하나 뺐네요 나머진 괜춘해요 예쁘고,cchh****,20.12.23.,1,서랍장,침실가구
,,,,,,,
77,5,수납공간도 좋고 깨끗하니 너무 이뻐요~다른제품도 또 구매하고싶을정도로 맘에드네요~,hedy****,21.01.16.,1,서랍장,침실가구
,,,,,,,
78,3,약속된 날짜에  배송되었어요.사진처럼 예쁘긴해요?구매옵션설정이 이상해서 잘못  주문ㅜ,echo****,20.12.31.,1,서랍장,침실가구
,,,,,,,
79,5,"엄청 크네요..화이트로 할 걸 하는 후회가 있지만. 가구는 좋습니다.
가성비가좋아요",nwil****,21.01.20.,1,서랍장,침실가구
,,,,,,,
80,3,"배송은 너~~~무 걸렸고 보내준다는 날 연락도 없어서..내가 먼저 연락해서 확인받고 
그리고 받아보니 외모는 예쁘긴한데 흠집이 너무 많았고
서랍 열때마다 가시에 긁혀 무서움.
무늬만 가구임.",ugai****,20.12.25.,1,서랍장,침실가구
,,,,,,,
81,5,조아요맘에들어요ㅎㅎ,mug1****,21.01.12.,1,서랍장,침실가구
,,,,,,,
82,5,가성비 최고에요 고급스러워보여요,sesg****,20.12.29.,1,서랍장,침실가구
,,,,,,,
83,5,가격이저렴하고 예쁨니다,cys9****,21.01.28.,1,서랍장,침실가구
,,,,,,,
84,5,집안분위기를 환하게 해주네요~근데 유리를 안한게 후회되요.상판이 벌써 스크레치가ㅜ나서 마음이 아파요.서랍장도 잘열리고 은근 이것저것 많이 들어가서  만족합니다,jiny****,20.12.18.,1,서랍장,침실가구
,,,,,,,
85,5,예뻐요.튼튼하고 가격대비 너무 좋네요.,lbr3****,21.01.01.,1,서랍장,침실가구
,,,,,,,
86,4,깔끔하고 고급스러운 디자인이 전실을 밝게해주네요. 다만..서랍 안쪽이 거친 나무결 그대로라 거친느낌 그대로에요. 시간이 지나야 부드러워질듯 하네요.,fbwo****,20.12.20.,1,서랍장,침실가구
,,,,,,,
87,4,"가구 사진이랑 똑같고 예쁜데요 배송이 3차례?정도 예정날짜보다 뒤로 밀렸었고 서랍하나가
불량이와서 별하나뺐어요",cchh****,20.12.23.,1,서랍장,침실가구
,,,,,,,
88,5,배송은 오래 기다려 받았지만 기다린 보람이 있었습니다 맘에 들어요,e_tt****,20.12.30.,1,서랍장,침실가구
,,,,,,,
89,5,만족합니다~^^   깔끙하고 이쁘네요 ㅋ 그런데 안쪽에  넘  묻어나와서  믈티슈로 닦다닦다 안되서  찝찝해서  안쪽 서랍에  스트지 다 붙였네요,plus****,20.12.11.,1,서랍장,침실가구
,,,,,,,
90,5,화이트색상이라집이훤해보이고깨끗한맛에만족해요.주방에뒀는데수납도좋고기사님도친절하시구요..,frim****,21.01.08.,1,서랍장,침실가구
,,,,,,,
91,5,미라지 저렴한 가격에 득템. 마감 우수,henu****,20.12.29.,1,서랍장,침실가구
